permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
21-05970579,SOLAR PV SYSTEM,2021-06-29,2021-05-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-01,0,4691,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,5819.46,Cary,27519
21-05980609,SOLAR PV SYSTEM,2021-06-04,2021-05-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-01,0,5277,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27511,6546.42,Cary,27511
21-05990592,SOLAR PV SYSTEM,2021-06-30,2021-05-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-10-06,0,3726,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,4622.32,Cary,27519
21-06001276,ADD 3 PANELS TO EXISTING SOLAR PV SYSTEM,2021-06-14,2021-05-24,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2021-06-16,0,2357,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,2924.0,Cary,27519
21-06011969,SOLAR PV SYSTEM,,2021-05-24,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2023-01-19,0,0,,,,27513,0.0,Cary,27513
21-06020466,SOLAR PV SYSTEM,2021-06-02,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-01,0,20468,8M SOLAR,GENERAL CONTRACTOR,27587,27518,25391.74,Cary,27518
21-06030467,SOLAR PV SYSTEM,2021-06-09,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-02,0,17520,8M SOLAR,GENERAL CONTRACTOR,27587,27513,21734.58,Cary,27513
21-06040626,SOLAR PV SYSTEM,2021-06-29,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-12,0,3383,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27519,4196.81,Cary,27519
21-06051162,SOLAR PV SYSTEM,2021-07-14,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-07-29,0,34321,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,42577.19,Cary,27519
21-06061513,SOLAR PV SYSTEM,2021-06-02,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-05,0,29797,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,36964.91,Cary,27519
21-06071810,SOLAR PANELS,2022-01-31,2021-05-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-02-21,620,69820,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27513,86615.76,Cary,27513
21-06080524,SOLAR PV SYSTEM,2021-12-22,2021-05-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-14,0,15590,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27513,19340.3,Cary,27513
21-06091670,SOLAR PV SYSTEM,2021-06-04,2021-05-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-11-19,0,4855,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27519,6022.91,Cary,27519
21-06101811,SOLAR INSTALLATION 20 PANELS,2021-08-27,2021-05-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-08-30,496,61586,"TITAN SOLAR POWER NC, INC",GENERAL CONTRACTOR,85210,27513,76401.0,Cary,27513
21-06110679,SOLAR PANELS,2021-05-28,2021-05-27,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2021-06-14,368,29781,CAPE FEAR SOLAR SYSTEMS,GENERAL CONTRACTOR,28401,27560,36945.06,Morrisville,27560
21-06121753,SOLAR PV SYSTEM,2021-06-17,2021-05-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-06-24,0,36165,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27513,44864.78,Cary,27513
21-06131779,SOLAR PV SYSTEM,2021-09-30,2021-05-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-20,0,48220,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27513,59819.7,Cary,27513
21-06141788,SOLAR PV SYSTEM,,2021-05-27,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2023-03-24,0,14565,"TESLA ENERGY OPERATIONS, INC.",GENERAL CONTRACTOR,94538,27518,18068.73,Cary,27518
21-06150523,SOLAR PANELS ON RESIDENTIAL ROOF,2021-07-14,2021-05-28,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-01-24,0,9788,"AVOLTA POWER, INC.",UNLICENSED CONTRACTOR,84097,27519,12142.58,Cary,27519
21-06160677,SOLAR PANELS,2021-08-10,2021-05-28,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2021-09-27,718,111769,CAPE FEAR SOLAR SYSTEMS,GENERAL CONTRACTOR,28401,27519,138655.92,Cary,27519
