permitnum,description,issuedate,applieddate,statuscurrent,jurisdiction,statuscurrentmapped,statusdate,totalsqft,projectcost,contractorcompanyname,contractortrade,contractorzip,ownerzip,projectcost_6_2026,originalcity_validated,originalzip_validated
19-00000950,SOLAR PANELS,2019-01-24,2019-01-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-05,417,20700,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,27463.16,Cary,27519
19-00011463,SOLAR PANELS,2019-04-03,2019-01-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-16,627,22234,SIGORA SOLAR LLC,GENERAL CONTRACTOR,22903,27523,29498.35,Apex,27523
19-00020002,INSTALL SOLAR PANELS,2019-02-05,2019-01-08,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-05,4305,14229,8M SOLAR,UNLICENSED CONTRACTOR,27612,27606,18877.94,Raleigh,27606
19-00031624,SOLAR PV SYSTEM,2019-02-15,2019-01-10,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-01,422,17000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,22554.28,Cary,27519
19-00041897,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-01-29,2019-01-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-14,790,32525,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27539,43151.65,Apex,27539
19-00051979,SOLAR PANELS,,2019-01-15,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-01-25,676,56375,,,,27513,74793.99,Cary,27513
19-00060005,INSTALL SOLAR SYSTEM,2019-02-05,2019-01-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-12,369,16601,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,22024.92,Cary,27519
19-00071408,INSTALL SOLAR SYSTEM,2019-03-26,2019-01-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-03,462,21779,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,28894.69,Cary,27519
19-00081885,RESIDENTIAL SOLAR PANELS,2019-02-28,2019-01-23,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-05-24,425,25000,U-SAVE SOLAR LLC,UNLICENSED CONTRACTOR,29229,27519,33168.07,Cary,27519
19-00090003,INSTALL SOLAR ARRAY,,2019-01-24,EXPIRED PERMIT (XP),TC,Permit Cancelled,2020-01-16,598,24990,8M SOLAR,UNLICENSED CONTRACTOR,27612,27606,33154.8,Raleigh,27606
19-00100011,SOLAR PV SYSTEM,2019-02-27,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-15,528,21915,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,29075.13,Cary,27519
19-00110419,INSTALL SOLAR ARRAY,2019-02-27,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-11,511,23324,8M SOLAR,GENERAL CONTRACTOR,27587,27519,30944.48,Cary,27519
19-00121486,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-02-18,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-08,495,22567,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27560,27511,29940.15,Cary,27511
19-00131504,SOLAR PANELS,2019-02-18,2019-01-24,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-04,369,17066,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,22641.85,Cary,27519
19-00140006,INSTALL SOLAR PV,2019-02-27,2019-01-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-03,738,29900,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,39669.01,Cary,27519
19-00150993,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-02-12,2019-01-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-13,595,29842,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,39592.06,Cary,27519
19-00161896,INSTALL SOLAR PV,2019-02-06,2019-01-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-01,440,19956,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27513,26476.08,Cary,27513
19-00171487,INSTALL SOLAR PV,2019-02-19,2019-01-31,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-01,454,20893,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27560,75028,27719.22,Cary,27519
19-00181515,INSTALL SOLAR PV,2019-02-18,2019-01-31,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-25,418,20975,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27560,27519,27828.01,Cary,27519
19-00190546,SOLAR PANELS ON RESIDENTIAL ROOF,2019-03-11,2019-02-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-05,595,18603,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27539,24577.13,Apex,27539
19-00200951,INSTALL SOLAR PV,2019-02-12,2019-02-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-02-28,408,19126,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,25268.09,Cary,27513
19-00210007,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-02-27,2019-02-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-09,472,20703,8M SOLAR,UNLICENSED CONTRACTOR,27612,27539,27351.52,Apex,27539
19-00220994,SOLAR PV SYSTEM,2019-03-12,2019-02-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-29,525,21960,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,29012.19,Cary,27513
19-00231415,INSTALL SOLAR ARRAY,2019-02-19,2019-02-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-06-17,281,21216,"POWER HOME SOLAR, LLC",GENERAL CONTRACTOR,28115,27518,28029.27,Cary,27518
19-00240995,INSALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-03-12,2019-02-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-27,350,15000,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,19817.07,Cary,27519
19-00251627,SOLAR PV SYSTEM,2019-03-22,2019-02-15,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-04-22,617,27000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,35670.73,Cary,27519
19-00261898,SOLAR PV SYSTEM,2019-02-25,2019-02-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-16,500,24034,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27518,31752.23,Cary,27518
19-00271907,SOLAR PANELS,2019-02-25,2019-02-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-03-21,660,31457,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,41559.04,Cary,27519
19-00281600,SOLAR PANEL SYSTEM,2019-05-23,2019-02-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-06-27,415,15576,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27511,20578.05,Cary,27511
19-00291399,SOLAR PANELS,2019-04-10,2019-02-22,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-30,360,27500,PALMETTO STATE SOLAR INC,UNLICENSED CONTRACTOR,29607,27511,36331.3,Cary,27511
19-00300683,SOLAR PANELS,2019-04-04,2019-02-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-01,444,41383,CAPE FEAR SOLAR SYSTEMS,GENERAL CONTRACTOR,28401,27607,54672.66,Cary,27513
19-00311579,SOLAR PANELS ON RESIDENTIAL ROOF,2019-06-05,2019-02-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-08-22,605,22726,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,30024.18,Cary,27519
19-00320996,SOLAR PANELS,2019-03-20,2019-02-28,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-04-05,468,23177,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,30620.02,Cary,27519
19-00331970,SOLAR PV SYSTEM,,2019-02-28,ADMINISTRATIVELY CLOSED (AC),TC,Permit Cancelled,2019-02-28,444,41383,,,,27607,54672.66,Cary,27513
19-00341421,SOLAR PV SYSTEM,2019-03-20,2019-03-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-06,316,27540,"POWER HOME SOLAR, LLC",GENERAL CONTRACTOR,28115,27519,36180.04,Cary,27519
19-00351911,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-03-19,2019-03-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-06-06,340,14500,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27511,19049.04,Cary,27511
19-00360012,SOLAR PV SYSTEM,2019-03-22,2019-03-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-01,511,22026,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,28936.15,Cary,27519
19-00370008,SOLAR PV SYSTEM,2019-03-22,2019-03-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-24,745,29348,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,38555.26,Cary,27519
19-00381915,SOLAR PV SYSTEM,,2019-03-11,EXPIRED PERMIT (XP),TC,Permit Cancelled,2021-03-05,560,25292,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,33226.78,Cary,27519
19-00390949,SOLAR PV SYSTEM,2019-04-02,2019-03-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-18,250,12987,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,17061.37,Cary,27519
19-00401899,SOLAR PV SYSTEM,,2019-03-18,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2023-03-31,430,18340,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,24093.75,Cary,27519
19-00411916,SOLAR PV SYSTEM,2019-03-29,2019-03-18,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-23,700,26104,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,34293.53,Cary,27519
19-00420623,SOLAR PANELS,,2019-03-25,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-04-09,0,17192,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27513,22585.59,Cary,27513
19-00430928,SOLAR PANELS,2019-04-18,2019-03-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-06,272,23238,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27518,30528.39,Cary,27518
19-00441514,SOLAR PANELS,2019-04-17,2019-03-28,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-04-05,8000,38297,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,50311.8,Cary,27519
19-00450013,SOLAR PANELS,2019-04-24,2019-04-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-07-10,603,25500,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,33323.59,Cary,27519
19-00460567,SOLAR PANELS ON RESIDENTIAL ROOF,2019-04-24,2019-04-10,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-07-15,648,20034,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27539,26180.58,Apex,27539
19-00470016,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-04-24,2019-04-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-14,0,17112,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,22362.09,Cary,27519
19-00481628,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-05-01,2019-04-23,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-12-04,435,19000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,24829.34,Cary,27519
19-00490547,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-06-11,2019-04-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-08-30,455,14853,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27513,19410.01,Cary,27513
19-00501413,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-05-14,2019-04-26,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-05-30,0,14490,"POWER HOME SOLAR, LLC",GENERAL CONTRACTOR,28115,27518,18935.64,Cary,27519
19-00510548,SOLAR PANELS,2019-06-18,2019-04-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-07-12,0,7312,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27539,9555.38,Apex,27539
19-00521381,SOLAR PANELS,2019-06-26,2019-04-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-11-01,0,10000,OWNER (GENERAL),GENERAL CONTRACTOR,27519,27607,13068.07,Cary,27513
19-00530997,SOLAR PV SYSTEM,2019-05-29,2019-05-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-06-12,510,28560,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27518,37243.14,Cary,27518
19-00540952,SOLAR PANELS ON RESIDENTIAL ROOF,2019-05-29,2019-05-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-18,448,25834,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27518,33688.35,Cary,27518
19-00551468,INSTALL SOLAR PANELS ON RESIDENTIAL ROOF,2019-06-21,2019-05-14,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-10-15,594,26086,SIGORA SOLAR LLC,GENERAL CONTRACTOR,22903,20190,34016.96,Apex,27523
19-00561606,SOLAR PV SYSTEM,,2019-05-24,EXPIRED PERMIT (XP),TC,Permit Cancelled,2020-02-26,519,13398,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27518,17471.41,Cary,27518
19-00570596,SOLAR PV SYSTEM,2019-06-18,2019-06-04,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-12-18,175,7312,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84097,27518,9533.18,Cary,27518
19-00580902,SOLAR PANELS ON RESIDENTIAL ROOF,2019-06-28,2019-06-05,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-07-31,629,35312,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27511,46038.79,Cary,27511
19-00591588,SOLAR PV SYSTEM,2019-08-05,2019-06-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-05-01,0,12474,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,16263.25,Cary,27519
19-00600010,SOLAR PANELS ON RESIDENTIAL ROOF,2019-07-02,2019-06-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-08-01,563,24000,8M SOLAR,UNLICENSED CONTRACTOR,27612,27513,31290.52,Cary,27513
19-00611461,SOLAR PANELS ON RESIDENTIAL ROOF,2019-06-28,2019-06-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-20,830,22459,SIGORA SOLAR LLC,GENERAL CONTRACTOR,22903,27539,29281.41,Apex,27539
19-00620903,SOLAR PV SYSTEM,2019-07-02,2019-06-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-08-06,476,24872,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,32427.41,Cary,27513
19-00631416,SOLAR PV SYSTEM,2019-07-19,2019-06-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-11-01,474,37260,"POWER HOME SOLAR, LLC",GENERAL CONTRACTOR,28115,27513,48578.53,Cary,27513
19-00641580,SOLAR PANELS ON RESIDENTIAL ROOF,2020-02-11,2019-06-27,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-06-16,375,14784,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,19274.96,Cary,27519
19-00650549,SOLAR PANELS ON RESIDENTIAL ROOF,2019-07-17,2019-07-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-07-31,210,8241,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27607,10726.46,Cary,27513
19-00661589,SOLAR PANELS ON RESIDENTIAL ROOF,2020-02-07,2019-07-01,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-06-03,214,8316,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,10824.08,Cary,27519
19-00670929,SOLAR PANELS ON RESIDENTIAL ROOF,2019-07-19,2019-07-02,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2022-02-03,204,12273,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,15974.5,Cary,27519
19-00681566,SOLAR PANELS ON RESIDENTIAL ROOF,2019-07-22,2019-07-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-20,595,54817,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27519,71349.63,Cary,27519
19-00691601,SOLAR PV SYSTEM,2019-10-09,2019-07-02,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2020-03-06,250,9240,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,12026.75,Cary,27519
19-00701609,SOLAR PANELS ON RESIDENTIAL ROOF,,2019-07-05,ON HOLD (HD),TC,Appeal,2021-02-11,0,11748,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,15291.16,Cary,27519
19-00710014,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-05,2019-07-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-16,498,19530,8M SOLAR,UNLICENSED CONTRACTOR,27612,27513,25420.19,Cary,27513
19-00721581,SOLAR PANELS ON RESIDENTIAL ROOF,2020-01-09,2019-07-09,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-03-26,340,12540,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,16322.02,Cary,27519
19-00731417,SOLAR PV SYSTEM,2019-09-19,2019-07-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-28,0,24240,"POWER HOME SOLAR, LLC",GENERAL CONTRACTOR,28115,27518,31550.71,Cary,27518
19-00741617,SOLAR PV SYSTEM,2019-10-04,2019-07-11,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-23,363,14000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,18222.36,Cary,27519
19-00751005,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-05,2019-07-15,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-08-15,0,2904,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,3779.84,Cary,27513
19-00760898,SOLAR PV SYSTEM,2019-08-06,2019-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-17,782,23250,BLACK CAT SOLAR INC,GENERAL CONTRACTOR,28036,27519,30262.13,Cary,27519
19-00771602,SOLAR PV SYSTEM,2019-10-11,2019-07-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-11-08,232,8580,SOUTHERN EXPOSURE BUILDERS INC,GENERAL CONTRACTOR,29492,27519,11167.7,Cary,27519
19-00781489,SOLAR PV SYSTEM,,2019-07-22,EXPIRED PERMIT (XP),TC,Permit Cancelled,2024-06-07,540,26257,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,27518,34176.03,Cary,27518
19-00790009,SOLAR PANELS,2019-09-17,2019-07-25,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-25,0,17247,8M SOLAR,UNLICENSED CONTRACTOR,27612,27518,22448.64,Cary,27518
19-00801404,SOLAR PANELS,2019-10-31,2019-07-29,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-03-11,0,13046,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,16980.63,Cary,27519
19-00810017,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-27,2019-07-30,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-09,0,21340,8M SOLAR,UNLICENSED CONTRACTOR,27612,27518,27776.08,Cary,27518
19-00820959,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-21,2019-07-30,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-09-11,0,23510,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,30600.54,Cary,27519
19-00830584,SOLAR PANELS ON RESIDENTIAL ROOF,2019-10-24,2019-08-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-12-19,595,18603,BLUE RAVEN SOLAR,UNLICENSED CONTRACTOR,84003,27518,24214.83,Cary,27518
19-00840986,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-13,2019-08-02,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-03,442,20500,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,26684.09,Cary,27513
19-00851633,SOLAR PANELS,2019-08-20,2019-08-05,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-10-16,0,12000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27519,15619.95,Cary,27519
19-00861400,SOLAR PANELS ON RESIDENTIAL ROOF,2019-10-30,2019-08-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-01-16,0,16060,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27609,20904.7,Cary,27519
19-00871401,SOLAR PANELS ON RESIDENTIAL ROOF,,2019-08-06,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-10-24,0,18295,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,23813.92,Cary,27519
19-00881402,SOLAR PANELS ON RESIDENTIAL ROOF,2019-10-30,2019-08-06,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-12-06,0,18295,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,23813.92,Cary,27519
19-00891406,SOLAR PANELS ON RESIDENTIAL ROOF,,2019-08-06,EXPIRED APPLICATION (XA),TC,Permit Cancelled,2022-12-22,0,19412,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,25267.88,Cary,27519
19-00901407,SOLAR PV SYSTEM,,2019-08-06,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-10-31,0,18645,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,24269.5,Cary,27519
19-00911403,SOLAR PANELS,,2019-08-07,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-10-28,0,16619,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,21632.33,Cary,27519
19-00921409,SOLAR PANELS,,2019-08-07,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-11-08,0,16514,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,21495.66,Cary,27519
19-00931410,SOLAR PANELS,2019-10-30,2019-08-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2022-12-22,0,16619,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,21632.33,Cary,27519
19-00941411,SOLAR PANELS,,2019-08-07,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-10-22,0,18820,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,24497.29,Cary,27519
19-00951412,SOLAR PANELS,,2019-08-07,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-10-23,0,12709,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,16542.83,Cary,27519
19-00961537,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-16,2019-08-07,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2023-04-10,585,45623,SOUTHERN ENERGY MANAGEMENT,GENERAL CONTRACTOR,27617,,59385.76,Raleigh,27606
19-00971909,SOLAR PANELS ON RESIDENTIAL ROOF,2019-08-29,2019-08-07,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-10-07,395,18059,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27519,23506.73,Cary,27519
19-00981405,SOLAR PANELS ON RESIDENTIAL ROOF,,2019-08-08,PLANS WITHDRAWN (PW),TC,Permit Cancelled,2019-11-07,0,16619,"PEG ALTERNATIVE ENERGY, INC",UNLICENSED CONTRACTOR,23047,27519,21632.33,Cary,27519
19-00990914,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-03,2019-08-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-17,490,22000,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,28636.58,Cary,27519
19-01001618,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-04,2019-08-13,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-12-03,707,11000,"SUN DOLLAR ENERGY, LLC",GENERAL CONTRACTOR,27616,27607,14318.29,Raleigh,27607
19-01010930,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-03,2019-08-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-23,442,22318,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,29050.51,Cary,27519
19-01020960,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-03,2019-08-14,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2020-01-16,368,18786,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27518,24453.04,Cary,27518
19-01030939,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-03,2019-08-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-30,800,39500,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27513,51415.68,Cary,27513
19-01041900,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-11,2019-08-19,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-09-25,420,23000,YES! SOLAR SOLUTIONS,GENERAL CONTRACTOR,27513,27513,29938.24,Cary,27513
19-01050015,SOLAR PANELS ON RESIDENTIAL ROOF,2019-10-07,2019-08-20,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-10,428,18674,8M SOLAR,UNLICENSED CONTRACTOR,27612,27519,24307.25,Cary,27519
19-01060004,SOLAR PANELS ON RESIDENTIAL ROOF,2019-09-20,2019-08-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-10-03,550,23544,8M SOLAR,UNLICENSED CONTRACTOR,27612,27513,30646.35,Cary,27513
19-01070806,SOLAR PV SYSTEM,2019-09-30,2019-08-21,CERTICATE OF COMPLIANCE (CC),TC,Occupancy,2019-11-08,0,27700,EMERALD ENERGY LLC,GENERAL CONTRACTOR,27624,27519,36056.06,Cary,27519
19-01080940,SOLAR PANELS,2019-09-03,2019-08-22,CERTICATE OF COMPLIANCE (CC),CC,Occupancy,2019-09-26,700,46804,NC SOLAR NOW INC,GENERAL CONTRACTOR,27604,27519,60923.02,Cary,27519
